"Multiple Order","Multiple Order"
"Multiple Product Order Form","Multiple Product Order Form"
"General settings","Allgemeine Einstellungen"
"Enable Multiple Product Order Form","Enable Multiple Product Order Form"
"Enable or disable extension.","Aktivieren oder Deaktivieren der Extension."
"Your product(s) where added to your shopping cart.","Your product(s) where added to your shopping cart."
"Please enter valid product sku.","Bitte geben Sie eine gültige SKU an."
"The product does not exist.","Dieses Produkt ist nicht vorhanden."
"Remove this entry","Eintrag entfernen"
"Submit Data","Daten Senden"
"New Order Form","Neuer Bestellzettel"
"SKU","Artikelnummer"
"Name","Name"
"Price","Preis"
"Quantity","Anzahl"
"Action","Aktion"
