"Quick Orders","Quick Orders"
"General settings","Allgemeine Einstellungen"
"Enable Quick Orders Form","Enable Quick Orders Form"
"Enable or disable extension.","Aktivieren oder Deaktivieren der Extension."
"Your product(s) where added to your shopping cart.","Your product(s) where added to your shopping cart."
"Please enter valid product sku.","Bitte geben Sie eine gültige SKU an."
"The product does not exist.","Dieses Produkt ist nicht vorhanden."
"Remove this entry","Eintrag entfernen"
"Quick Order Form","Schnellbestellformular"
"SKU","Artikelnummer"
"Name","Name"
"Price","Preis"
"Quantity","Anzahl"
"Action","Aktion"
"Add products to Cart","Produkte in den Warenkorb"
